# index, name, _pos
315,C08F8.8,"array([28.92139896, -1.38359956])"
316,W02D3.9,"array([27.81055754, -0.56778421])"
317,C08G5.5,"array([24.73824434,  2.92941413])"
318,C09B8.6,"array([-3.45028926, -3.11128569])"
319,H14N18.1,"array([-3.60816393, -2.45477166])"
320,C09G1.4,"array([21.64613187,  1.85737447])"
321,F57A10.4,"array([20.45202556, -0.8138355 ])"
322,F57C9.4,"array([21.23643793,  2.60206474])"
323,C09G12.8,"array([45.09204007,  3.30103064])"
324,C48G7.3,"array([45.09496958,  3.99584571])"
325,C09G12.9,"array([26.41873884, 25.4757812 ])"
326,CD4.4,"array([26.94150555, 25.99091043])"
327,F35F10.12,"array([25.88388864, 24.99647537])"
328,C09G5.2,"array([39.7538129 , 15.48899899])"
329,C14B1.5,"array([39.93183964, 14.82692625])"
330,C09H10.6,"array([ 30.30798313, -22.86710014])"
331,T22G5.5,"array([ 30.01754428, -22.23609431])"
332,C09H6.2,"array([10.28219789,  1.74093293])"
333,C14A6.1,"array([9.00192573, 1.8345631 ])"
334,D1007.16,"array([9.17208942, 1.04794459])"
335,F15A4.11,"array([13.26791807,  2.28667567])"
336,T25G12.4,"array([8.2858712 , 1.35328421])"
337,C10E2.4,"array([15.3635767 ,  0.97645854])"
338,M04G12.1,"array([17.66811856,  1.80375885])"
339,C10G6.1,"array([  7.95398764, -20.15090269])"
340,T26A5.9,"array([  7.53492632, -20.82199057])"
341,C10G8.6,"array([19.41525488,  6.63416367])"
342,C37A2.8,"array([22.38382154, -3.56219006])"
343,R07G3.8,"array([22.09886143, -3.90928721])"
344,C12D8.1,"array([22.55615434, -0.63577983])"
345,F34D10.4,"array([24.64375537,  1.91460353])"
346,K07F5.11,"array([22.40133894, -2.35090274])"
347,T21G5.5,"array([22.64072725,  0.14984309])"
348,C13D9.9,"array([34.45718498,  2.98325702])"
349,C28H8.11,"array([31.32722989,  0.23362613])"
350,C44F1.5,"array([31.84223264,  0.9386511 ])"
351,F22B7.13,"array([28.54677173,  3.9115965 ])"
352,T20G5.10,"array([31.3309637 ,  0.79640808])"
353,T24H7.4,"array([32.20193709, -0.19293139])"
354,Y37E11B.3,"array([31.51479814,  1.45416599])"
355,C13F10.6,"array([ 28.67070104, -13.88903757])"
356,C13F10.7,"array([0.50816486, 2.67800553])"
357,ZK632.12,"array([-0.07834913,  2.3285744 ])"
358,C13G3.3,"array([22.24301868,  5.49871622])"
359,C13G5.2,"array([22.07977231, 26.37019843])"
360,M163.1,"array([22.00667278, 25.58838676])"
361,C14A11.7,"array([35.83135387,  3.47329695])"
362,C14B1.3,"array([29.45361205, -8.82368341])"
363,C14B1.4,"array([17.45608688,  2.08881196])"
364,C14B9.1,"array([  1.85467622, -16.73173897])"
365,T22A3.2,"array([  1.56317305, -17.34849039])"
366,C14C10.3,"array([ 28.91416654, -16.43621926])"
367,EEED8.1,"array([ 28.62606905, -15.26736248])"
368,C14E2.1,"array([24.21505696,  7.14131032])"
369,C14F11.4,"array([14.14447083,  3.79951757])"
370,C15C7.5,"array([22.14877526,  6.02969556])"
371,F44D12.1,"array([22.75863396,  6.75508035])"
