# index, _pos
339,"array([-15.10763404,   3.0388839 ])"
340,"array([ -2.17773296, -21.53757722])"
341,"array([ -4.0629402 , -22.94393381])"
342,"array([ 7.54826094, 14.7139848 ])"
343,"array([  2.74008894, -14.40702742])"
344,"array([-14.66155522,   1.71116296])"
345,"array([-11.81254155,   6.08207096])"
346,"array([-12.13801236,   8.04993869])"
347,"array([-12.88303817,   7.42287743])"
348,"array([-13.32653496,   7.00706973])"
349,"array([-2.53643798, 10.31558097])"
350,"array([-6.93549108,  8.73117096])"
351,"array([-5.54786804,  8.23235915])"
352,"array([-7.18782684, 11.06030943])"
353,"array([-11.6070482 ,   6.94120553])"
354,"array([-12.14346317,   7.23822464])"
355,"array([-6.12486728, 10.69712124])"
356,"array([-8.36587584, 10.50634098])"
357,"array([-5.241425  ,  8.74599686])"
358,"array([-6.50587874,  9.59328139])"
359,"array([-7.25331136, 10.49877867])"
360,"array([-6.85479741, 10.01938155])"
361,"array([-28.68622256,  24.33261678])"
362,"array([-28.35632796,  22.43775619])"
363,"array([-26.35169869,  23.355204  ])"
364,"array([-27.9444935 ,  24.65338801])"
365,"array([-27.56991285,  23.53596801])"
366,"array([-26.34504424,  24.16845082])"
367,"array([-28.39531472,  23.69179498])"
368,"array([-27.71899895,  22.80434389])"
369,"array([-10.66636983,   2.68737669])"
370,"array([-10.51739607,  -0.49014067])"
371,"array([-10.88512513,   0.39869184])"
372,"array([-11.34775483,  -0.9737304 ])"
373,"array([-8.46244638,  0.7426093 ])"
374,"array([-9.67452311,  1.02601372])"
375,"array([-8.57234275,  2.27786283])"
376,"array([-9.51247159,  0.62861207])"
377,"array([-10.51494671,   0.68592891])"
378,"array([-8.17961404,  1.66531681])"
379,"array([-10.79186731,  -0.85925282])"
380,"array([-8.64962292,  1.8279641 ])"
381,"array([-12.17207332,   0.37526775])"
382,"array([-11.34373444,   0.29096873])"
383,"array([-11.75550362,  -0.21399626])"
384,"array([-9.31968209,  0.09265238])"
385,"array([-12.64601576,   0.08643117])"
386,"array([-11.79414156,   0.63796027])"
387,"array([-10.12532348,   1.34518076])"
388,"array([-13.79069663,   0.85743811])"
389,"array([-14.17654031,   0.52131493])"
390,"array([-14.35268526,   1.00022888])"
391,"array([-5.89233574,  4.60972301])"
392,"array([-10.08299089,   0.76170181])"
393,"array([-6.32636301,  4.89794732])"
394,"array([-6.30466715,  4.14065704])"
395,"array([-12.21760218,  -0.07586195])"
396,"array([-12.49958334,   0.71851431])"
397,"array([-13.83052917,   0.13970048])"
398,"array([-10.52518171,   4.81393941])"
399,"array([-10.01999081,   2.45778017])"
400,"array([-8.64968608,  1.38601593])"
401,"array([-10.55950645,   0.08966322])"
402,"array([-9.82320649,  0.32748796])"
403,"array([-12.9330776,  -0.4058077])"
404,"array([-10.9573809 ,   1.00620459])"
405,"array([-12.45856602,  -0.51221381])"
406,"array([-8.74861018,  0.28801659])"
407,"array([-10.0964165 ,  -0.41645951])"
408,"array([-9.06153251,  2.03265386])"
409,"array([-13.2279527 ,   0.87920478])"
410,"array([-10.01878609,   1.97977018])"
411,"array([-8.69032303,  2.88322359])"
412,"array([-9.6943174 , -0.18918567])"
413,"array([-10.16179315,   0.11530125])"
414,"array([-9.5040572 ,  2.14999182])"
415,"array([-7.91093566,  5.55507111])"
416,"array([-9.09562688,  6.83371019])"
417,"array([-12.60795   ,   5.20060011])"
418,"array([-8.47850831,  6.83747583])"
419,"array([-8.94117664,  0.9243256 ])"
420,"array([-9.2291661 ,  1.63148579])"
421,"array([-8.23550279,  2.63869025])"
422,"array([-11.34137764,  -0.11353996])"
423,"array([-10.87481537,  -0.20432562])"
424,"array([-9.04481407,  0.56512703])"
425,"array([-8.10212032,  2.13964104])"
426,"array([-11.21722398,  -0.54751488])"
427,"array([-9.35677142,  2.73088837])"
428,"array([-13.47198051,   0.45441567])"
429,"array([-9.61248333,  1.56311454])"
430,"array([-8.29541298,  1.19643833])"
431,"array([-13.46021584,  -0.21576927])"
432,"array([-6.15934931, -1.4677051 ])"
433,"array([-4.82426507, -2.71551683])"
434,"array([-7.16150028, -4.40834541])"
435,"array([-5.60150641, -5.57527726])"
436,"array([-6.87374918, -3.61083332])"
437,"array([-7.54357713, -4.94189438])"
438,"array([-5.34807065,  0.15756691])"
439,"array([-5.78028578, -0.34053462])"
440,"array([-6.77429415, -0.84277115])"
441,"array([-5.74221176, -5.00725368])"
442,"array([-7.79003722, -4.3131206 ])"
443,"array([-7.52641598, -3.71595915])"
444,"array([-4.2561787 , -0.81676276])"
445,"array([-5.2621063 , -4.73356655])"
446,"array([-6.684995  , -5.52325698])"
447,"array([-5.02182485, -5.26804758])"
448,"array([-5.98408272, -4.51492191])"
